History Channel Functions Measurement Report

Measurements started at Date: 28-Oct-2023 Time: 19:01:37

Spectrometer ID : 2108340U2
Integration Time: 100,00 ms
Averages        : 10 scans

Description of the Function:

Integral: between  344,00 and  360,00 nm. Multiplied with:  1,0000. Scope Corrected for Dark Mode

Time         Seconds   Function Value
19:15:38    843,220     223640,9521
19:15:43    848,313     223751,4309
19:15:48    853,408     223930,5006
19:15:53    858,505     224051,5355
19:15:58    863,590     224075,6255
19:16:03    868,673     224304,1454
19:16:09    873,771     224396,8177
19:16:14    878,854     224589,5204
19:16:19    883,938     224554,2876
19:16:24    889,022     224798,8676
19:16:29    894,117     224940,2396
19:16:34    899,202     224892,1777
19:16:39    904,285     225054,0706
19:16:44    909,368     225179,3336
19:16:49    914,453     225141,2895
19:16:54    919,539     225555,0463
19:16:59    924,624     225387,9878
19:17:05    929,719     225537,2130
19:17:10    934,818     225609,9621
19:17:15    939,919     225582,9520
19:17:20    945,006     225964,8733
19:17:25    950,092     225963,0203
19:17:30    955,178     226222,5828
19:17:35    960,277     226435,0756
19:17:40    965,365     226766,6886
19:17:45    970,451     227588,4525
19:17:50    975,552     228156,4867
19:17:55    980,638     228708,0612
19:18:01    985,724     229264,5283
19:18:06    990,827     229874,7908
19:18:11    995,917     230630,6666
19:18:16   1001,006     230860,0147
19:18:21   1006,095     231223,8981
19:18:26   1011,197     231829,3036
19:18:31   1016,300     232209,0831
19:18:36   1021,388     232609,3002
19:18:41   1026,477     232699,9521
19:18:46   1031,567     233177,1906
19:18:51   1036,669     233356,5222
19:18:57   1041,782     233516,3372
19:19:02   1046,874     233732,0196
19:19:07   1051,963     233983,5632
19:19:12   1057,053     234032,6306
19:19:17   1062,165     234122,5087
19:19:22   1067,295     234134,6733
19:19:27   1072,421     234207,6714
19:19:32   1077,550     234281,3598
19:19:37   1082,682     234280,4262
19:19:43   1087,772     234476,6490
19:19:48   1092,888     234616,2303
19:19:53   1097,997     234609,5837
19:19:58   1103,104     234671,3163
19:20:03   1108,212     234702,9278
19:20:08   1113,322     234706,6745
19:20:13   1118,443     234932,8718
19:20:18   1123,540     234895,9172
19:20:23   1128,633     234826,2193
19:20:29   1133,732     235019,1253
19:20:34   1138,866     235008,9483
19:20:39   1143,995     235138,9160
19:20:44   1149,093     235064,4469
19:20:49   1154,187     234985,9382
19:20:54   1159,296     235028,6452
19:20:59   1164,407     235207,5237
19:21:04   1169,532     235218,1835
19:21:09   1174,631     235233,2718
19:21:15   1179,742     235185,2107
19:21:20   1184,834     234966,0305
19:21:25   1189,947     234143,8036
19:21:30   1195,074     233346,2617
19:21:35   1200,178     232906,5071
19:21:40   1205,313     232806,4859
19:21:45   1210,410     232305,1312
19:21:50   1215,544     232075,7512
19:21:55   1220,641     231917,7756
19:22:01   1225,738     231956,0270
19:22:06   1230,833     231941,2703
19:22:11   1235,927     232234,5962
19:22:16   1241,040     232146,8030
19:22:21   1246,136     232216,4394
19:22:26   1251,232     232311,2942
19:22:31   1256,327     232527,9389
19:22:36   1261,464     232598,9217
19:22:41   1266,569     232883,3313
19:22:47   1271,703     233362,2453
19:22:52   1276,838     233762,1056
19:22:57   1281,972     234266,3832
19:23:02   1287,074     234566,9294
19:23:07   1292,207     234528,6801
19:23:12   1297,303     234807,7777
19:23:17   1302,436     234549,0896
19:23:22   1307,571     234367,6048
19:23:27   1312,668     234025,5577
19:23:33   1317,770     233603,8453
19:23:38   1322,871     233055,5218
19:23:43   1328,011     232943,3183
19:23:48   1333,116     232836,8109
19:23:53   1338,215     232704,2588
19:23:58   1343,320     232454,0006
19:24:03   1348,431     231872,6964
19:24:08   1353,534     231385,3023
19:24:13   1358,632     230977,4685
19:24:19   1363,748     231028,7092
19:24:24   1368,847     230759,8475
19:24:29   1373,970     230323,1335
19:24:34   1379,076     229565,4448
19:24:39   1384,177     228788,5977
19:24:44   1389,282     227952,5443
19:24:49   1394,389     226924,9366
19:24:54   1399,528     225881,9346
19:24:59   1404,645     224463,7857
19:25:05   1409,766     223029,1999
19:25:10   1414,867     221785,5128
19:25:15   1419,972     220275,4825
19:25:20   1425,115     219110,7131
19:25:25   1430,222     217811,9212
19:25:30   1435,357     216385,5513
19:25:35   1440,476     215349,6778
19:25:40   1445,597     214356,4302
19:25:46   1450,709     213654,3269
19:25:51   1455,852     212987,5410
19:25:56   1460,997     212418,7354
19:26:01   1466,108     211793,6357
19:26:06   1471,220     211261,3297
19:26:11   1476,332     210983,2251
19:26:16   1481,474     210715,9555
19:26:21   1486,614     210394,1608
19:26:27   1491,717     210159,7816
19:26:32   1496,839     209838,7642
19:26:37   1501,981     209707,6420
19:26:42   1507,118     209727,4088
19:26:47   1512,241     209430,6342
19:26:52   1517,349     209156,4972
19:26:57   1522,491     209133,0143
19:27:02   1527,607     209029,7605
19:27:08   1532,722     209161,9688
19:27:13   1537,867     209062,1486
19:27:18   1543,016     208813,3423
19:27:23   1548,129     208792,6687
19:27:28   1553,244     208877,3534
19:27:33   1558,389     208897,0431
19:27:38   1563,503     208569,2091
19:27:43   1568,629     208450,0666
19:27:49   1573,778     208405,7755
19:27:54   1578,897     208510,3382
19:27:59   1584,045     208382,5885
19:28:04   1589,159     208431,8395
19:28:09   1594,274     208277,3342
19:28:14   1599,403     208251,9960
19:28:19   1604,526     208222,4133
19:28:24   1609,643     208084,7446
19:28:30   1614,769     208007,6332
19:28:35   1619,879     208108,6370
19:28:40   1625,014     208161,5899
19:28:45   1630,161     208219,4406
19:28:50   1635,308     207951,0130
19:28:55   1640,424     207940,0662
19:29:00   1645,536     207820,0788
19:29:05   1650,683     207705,2140
19:29:11   1655,828     207847,0807
19:29:16   1660,941     207745,8216
19:29:21   1666,052     207489,1071
19:29:26   1671,200     207453,4230
19:29:31   1676,347     207547,1776
19:29:36   1681,496     207590,4279
19:29:41   1686,611     207502,3977
19:29:47   1691,759     207500,2632
19:29:52   1696,878     207260,7240
19:29:57   1702,028     207253,4876
19:30:02   1707,146     207455,3448
19:30:07   1712,260     207292,6033
19:30:12   1717,378     207415,3996
19:30:17   1722,529     207453,8263
19:30:22   1727,654     207533,8423
19:30:28   1732,773     207394,5151
19:30:33   1737,922     207239,8292
19:30:38   1743,043     207294,1602
19:30:43   1748,163     207184,1390
19:30:48   1753,284     207036,8566
19:30:53   1758,433     207023,9267
19:30:58   1763,585     207170,7615
19:31:04   1768,737     207165,4894
19:31:09   1773,858     207158,2589
19:31:14   1779,010     207022,2015
19:31:19   1784,166     207129,6099
19:31:24   1789,289     207064,8205
19:31:29   1794,415     206862,8843
19:31:34   1799,536     207047,2098
19:31:39   1804,657     206942,0220
19:31:45   1809,788     206765,6405
19:31:50   1814,905     206922,0022
19:31:55   1820,031     207071,7668
19:32:00   1825,154     207014,3435
19:32:05   1830,310     206920,7833
19:32:10   1835,435     206852,7148
19:32:15   1840,559     206894,9405
19:32:21   1845,713     206993,6756
19:32:26   1850,868     206683,3328
19:32:31   1856,023     206903,1632
19:32:36   1861,148     206664,6830
19:32:41   1866,270     206779,4889
19:32:46   1871,423     206949,0818
19:32:51   1876,545     206732,1809
19:32:56   1881,667     206657,7520
19:33:02   1886,824     206641,7032
19:33:07   1891,947     206858,2567
19:33:12   1897,066     206677,3824
19:33:17   1902,226     206597,2747
19:33:22   1907,365     206493,8605
19:33:27   1912,510     206597,8894
19:33:32   1917,645     206629,2956
19:33:38   1922,796     206567,6396
19:33:43   1927,920     206413,6387
19:33:48   1933,072     206437,0713
19:33:53   1938,187     206505,7000
19:33:58   1943,302     206495,8001
19:34:03   1948,434     206314,0930
19:34:08   1953,557     206341,1409
19:34:14   1958,722     206529,0277
19:34:19   1963,864     206387,6702
19:34:24   1968,979     206316,2891
19:34:29   1974,141     206472,4209
19:34:34   1979,302     206381,9057
19:34:39   1984,465     206243,5602
19:34:44   1989,591     206311,4010
19:34:50   1994,749     206298,5423
19:34:55   1999,881     206426,5086
19:35:00   2005,038     206230,9615
19:35:05   2010,166     206382,6757
19:35:10   2015,291     206449,9539
19:35:15   2020,453     206356,9618
19:35:20   2025,581     206139,1509
19:35:26   2030,742     206034,4807
19:35:31   2035,871     206296,4220
19:35:36   2041,005     206056,4518
19:35:41   2046,136     206208,1081
19:35:46   2051,255     206206,4575
19:35:51   2056,407     206188,5154
19:35:56   2061,564     206142,6535
19:36:02   2066,708     205993,8089
19:36:07   2071,873     206133,3698
19:36:12   2077,036     206256,2887
19:36:17   2082,203     206364,2667
19:36:22   2087,338     206361,1746
19:36:27   2092,467     206172,6347
19:36:32   2097,602     206068,9842
19:36:38   2102,769     206135,5243
19:36:43   2107,939     206355,7572
19:36:48   2113,068     206188,6055
19:36:53   2118,236     206397,9606
19:36:58   2123,406     206453,0370
19:37:03   2128,542     206597,8406
19:37:09   2133,706     206475,9663
19:37:14   2138,874     206675,9197
19:37:19   2144,041     206530,3470
19:37:24   2149,175     206702,8171
19:37:29   2154,334     206767,2165
19:37:34   2159,459     206853,7378
19:37:39   2164,591     206976,3011
19:37:45   2169,757     207047,9471
19:37:50   2174,894     207146,8222
