History Channel Functions Measurement Report

Measurements started at Date: 06-May-2023 Time: 14:20:27

Spectrometer ID : 0706001U1
Integration Time: 100.00 ms
Averages        : 8 scans

Description of the Function:

Integral: between  340.00 and  360.00 nm. Multiplied with:  1.0000. Scope Corrected for Dark Mode

Time         Seconds   Function Value
14:36:53    988.187     215160.4004
14:37:04    998.707     215686.1871
14:37:15   1009.221     215410.7572
14:37:25   1019.741     215510.6595
14:37:36   1030.256     215870.0846
14:37:46   1040.767     215352.7326
14:37:57   1051.289     216006.2696
14:38:07   1061.799     215753.3708
14:38:18   1072.314     215796.6958
14:38:28   1082.835     216067.2708
14:38:39   1093.345     216284.5728
14:38:49   1103.857     215975.8476
14:39:00   1114.370     216920.3117
14:39:10   1124.890     217082.6990
14:39:21   1135.406     216916.0666
14:39:31   1145.917     217166.7081
14:39:42   1156.432     217419.2650
14:39:52   1166.944     217319.7790
14:40:03   1177.454     217411.0561
14:40:13   1187.964     217454.5071
14:40:24   1198.480     217903.6282
14:40:34   1208.991     217978.4464
14:40:45   1219.507     218418.3879
14:40:55   1230.029     218289.7010
14:41:06   1240.544     218415.5236
14:41:16   1251.057     218068.8273
14:41:27   1261.573     218291.2081
14:41:37   1272.121     218007.9852
14:41:48   1282.634     218316.8459
14:41:58   1293.182     218554.6712
14:42:09   1303.708     217895.3846
14:42:20   1314.218     218687.4602
14:42:30   1324.729     218535.2245
14:42:41   1335.241     218402.8925
14:42:51   1345.754     218329.4616
14:43:02   1356.265     218537.4435
14:43:12   1366.780     218129.2350
14:43:23   1377.288     218836.8179
14:43:33   1387.813     219015.4154
14:43:44   1398.327     219051.6745
14:43:54   1408.842     219067.9828
14:44:05   1419.362     219351.2517
14:44:15   1429.876     219653.5249
14:44:26   1440.386     219185.6311
14:44:36   1450.911     219658.5485
14:44:47   1461.422     219527.9463
14:44:57   1471.937     219628.9693
14:45:08   1482.462     219845.1351
14:45:18   1492.977     219512.8676
14:45:29   1503.489     219773.2017
14:45:39   1514.002     220054.7694
14:45:50   1524.513     220582.1697
14:46:00   1535.028     220926.5242
14:46:11   1545.541     220583.6748
14:46:21   1556.054     220676.9949
14:46:32   1566.566     220868.0404
14:46:42   1577.079     221169.4589
14:46:53   1587.591     221072.0633
14:47:03   1598.103     221230.3764
14:47:14   1608.609     220902.7397
14:47:24   1619.136     221193.3374
14:47:35   1629.649     221606.8928
14:47:45   1640.174     221310.1047
14:47:56   1650.686     221660.8740
14:48:06   1661.200     221164.0653
14:48:17   1671.711     221683.5021
14:48:28   1682.240     221430.6179
14:48:38   1692.751     221998.4679
14:48:49   1703.268     222126.2887
14:48:59   1713.779     221871.3699
14:49:10   1724.294     222319.4288
14:49:20   1734.802     222013.2601
14:49:31   1745.315     222324.0064
14:49:41   1755.823     222462.5047
14:49:52   1766.335     222123.1641
14:50:02   1776.848     222126.9543
14:50:13   1787.362     222417.5174
14:50:23   1797.875     222484.1696
14:50:34   1808.387     222675.3679
14:50:44   1818.900     222431.3443
14:50:55   1829.428     222972.1724
14:51:05   1839.941     222651.4525
14:51:16   1850.458     222508.2892
14:51:26   1860.970     223146.5630
14:51:37   1871.485     222645.1315
14:51:47   1881.997     222808.9838
14:51:58   1892.525     222304.6685
14:52:08   1903.050     222404.2107
14:52:19   1913.564     222686.8628
14:52:29   1924.072     222863.1189
14:52:40   1934.583     222814.2044
14:52:50   1945.094     222954.7204
14:53:01   1955.608     222747.1478
14:53:11   1966.118     222672.5388
14:53:22   1976.632     222922.1808
14:53:32   1987.145     223057.4333
14:53:43   1997.661     222749.6387
14:53:53   2008.175     222977.1636
14:54:04   2018.690     223192.1795
14:54:15   2029.217     223041.0557
14:54:25   2039.744     222829.7475
14:54:36   2050.258     223113.4208
14:54:46   2060.773     223175.5615
14:54:57   2071.286     222944.8992
14:55:07   2081.818     223024.4211
14:55:18   2092.328     222757.7199
14:55:28   2102.843     223478.2339
14:55:39   2113.372     223010.1680
14:55:49   2123.887     222912.2136
14:56:00   2134.398     223275.4349
14:56:10   2144.912     223326.2188
14:56:21   2155.422     223044.0631
14:56:31   2165.954     222970.6832
14:56:42   2176.468     223634.8267
14:56:52   2186.982     222745.4793
14:57:03   2197.493     223027.2030
14:57:13   2208.023     223131.6834
14:57:24   2218.534     223885.9485
14:57:34   2229.048     223266.7177
14:57:45   2239.560     223454.3592
14:57:55   2250.073     223446.6235
14:58:06   2260.585     223105.4865
14:58:16   2271.102     223199.7524
14:58:27   2281.632     222956.1808
14:58:37   2292.149     223527.0086
14:58:48   2302.660     222910.0541
14:58:58   2313.174     223462.8947
14:59:09   2323.705     223328.9634
14:59:20   2334.218     223381.6716
14:59:30   2344.728     223259.4092
14:59:41   2355.256     223402.9488
14:59:51   2365.769     223686.3854
15:00:02   2376.285     223476.7970
15:00:12   2386.796     223650.0256
15:00:23   2397.305     223514.1159
15:00:33   2407.816     223110.5210
15:00:44   2418.339     223663.8245
15:00:54   2428.851     223578.6938
15:01:05   2439.380     223240.4719
15:01:15   2449.914     223444.8562
15:01:26   2460.429     223445.7491
15:01:36   2470.941     223430.3992
15:01:47   2481.451     223537.4913
15:01:57   2491.963     223742.1889
15:02:08   2502.478     223527.1485
15:02:18   2512.991     223640.2374
15:02:29   2523.508     223586.4505
15:02:39   2534.018     223771.0360
15:02:50   2544.534     223868.8657
15:03:00   2555.039     223574.5937
15:03:11   2565.554     223785.8370
15:03:21   2576.066     223760.6058
15:03:32   2586.581     223528.5998
15:03:42   2597.094     223974.4012
15:03:53   2607.611     222976.5715
15:04:03   2618.142     223639.4735
15:04:14   2628.655     223374.9125
15:04:24   2639.167     223571.6670
15:04:35   2649.698     223377.1032
15:04:46   2660.206     223324.7091
15:04:56   2670.721     223247.8376
15:05:07   2681.234     222884.2976
15:05:17   2691.747     223510.8885
15:05:28   2702.276     223283.2547
15:05:38   2712.793     223593.6860
15:05:49   2723.304     223065.2556
15:05:59   2733.819     222983.1053
15:06:10   2744.328     222591.8378
15:06:20   2754.860     223533.9397
15:06:31   2765.372     223159.3337
15:06:41   2775.907     223088.8222
15:06:52   2786.415     223030.2649
15:07:02   2796.931     222812.1129
15:07:13   2807.444     223327.6171
15:07:23   2817.956     222999.2517
15:07:34   2828.487     222736.3196
15:07:44   2839.001     222905.2127
15:07:55   2849.511     222862.0731
15:08:05   2860.025     222540.5033
15:08:16   2870.537     223024.6977
15:08:26   2881.051     222392.1424
15:08:37   2891.563     222849.5292
15:08:47   2902.077     223027.9297
15:08:58   2912.587     222506.3169
15:09:08   2923.124     222552.7668
15:09:19   2933.637     222825.7224
15:09:29   2944.152     222488.8080
15:09:40   2954.687     222483.9606
15:09:50   2965.199     222616.2212
15:10:01   2975.711     222370.4287
15:10:12   2986.225     222573.6635
15:10:22   2996.739     222453.2204
15:10:33   3007.273     222613.9647
15:10:43   3017.821     222047.0681
15:10:54   3028.333     222735.1938
15:11:04   3038.845     222524.8103
15:11:15   3049.356     222028.4334
15:11:25   3059.866     222414.9686
15:11:36   3070.378     221866.8844
15:11:46   3080.888     222032.5066
15:11:57   3091.402     222378.3128
15:12:07   3101.972     222517.1826
15:12:18   3112.508     222402.8731
15:12:28   3123.017     222408.8111
15:12:39   3133.531     222369.0256
15:12:49   3144.082     222252.8676
15:13:00   3154.594     222283.8755
15:13:10   3165.108     222544.7443
15:13:21   3175.624     222168.7310
15:13:31   3186.136     222140.1724
15:13:42   3196.648     222178.0097
15:13:52   3207.157     221794.5168
15:14:03   3217.672     222189.3421
15:14:14   3228.203     222193.5533
15:14:24   3238.717     222227.0910
15:14:35   3249.229     222235.2087
15:14:45   3259.745     222629.9305
15:14:56   3270.258     222237.5316
15:15:06   3280.773     222206.5792
15:15:17   3291.286     222321.6507
15:15:27   3301.820     222556.1435
15:15:38   3312.331     222184.8964
15:15:48   3322.844     222389.9086
15:15:59   3333.378     221946.3593
15:16:09   3343.894     221940.1923
15:16:20   3354.404     221914.4037
15:16:30   3364.919     221629.4737
15:16:41   3375.508     221994.4160
15:16:51   3386.022     221771.4388
15:17:02   3396.532     221768.6395
15:17:12   3407.088     222349.9435
15:17:23   3417.617     221664.1256
15:17:33   3428.133     222348.0291
15:17:44   3438.645     221964.2491
15:17:54   3449.156     222272.4523
15:18:05   3459.667     221999.8282
15:18:15   3470.180     222172.0076
15:18:26   3480.691     222114.4820
15:18:37   3491.203     222277.3986
15:18:47   3501.713     221984.2401
15:18:58   3512.228     222123.9767
15:19:08   3522.740     222316.8806
15:19:19   3533.252     222097.9397
15:19:29   3543.790     222460.8512
15:19:40   3554.303     222263.3510
15:19:50   3564.815     222191.2520
15:20:01   3575.327     221968.1145
15:20:11   3585.947     222221.1973
15:20:22   3596.461     222059.7575
15:20:32   3606.972     221886.8994
15:20:43   3617.489     222097.7383
15:20:53   3628.003     222121.8056
15:21:04   3638.514     222010.1938
15:21:14   3649.023     222427.2290
15:21:25   3659.539     222452.5176
15:21:35   3670.051     221832.5269
15:21:46   3680.587     222266.0926
15:21:56   3691.099     222474.4142
15:22:07   3701.613     222515.0513
15:22:17   3712.173     222362.7509
15:22:28   3722.689     222105.4592
15:22:38   3733.198     222443.9580
15:22:49   3743.713     222382.3915
15:23:00   3754.223     222364.7594
15:23:10   3764.739     222836.1307
15:23:21   3775.249     221994.1164
15:23:31   3785.764     222121.5460
15:23:42   3796.272     222086.3597
15:23:52   3806.812     221900.6487
15:24:03   3817.323     222524.9948
15:24:13   3827.862     222208.0461
15:24:24   3838.376     222079.2030
15:24:34   3848.916     222729.3528
15:24:45   3859.429     222631.9581
15:24:55   3869.944     222011.7153
15:25:06   3880.453     222148.5329
15:25:16   3890.967     222323.1722
15:25:27   3901.478     222029.7393
15:25:37   3912.016     222103.9497
15:25:48   3922.527     222048.4219
15:25:58   3933.071     221799.0078
15:26:09   3943.582     222090.6095
15:26:19   3954.095     222160.1446
15:26:30   3964.605     221757.6204
15:26:40   3975.120     222160.8596
15:26:51   3985.632     221928.7277
15:27:01   3996.147     222113.4502
15:27:12   4006.659     222029.6339
15:27:22   4017.172     222403.1089
15:27:33   4027.684     222008.0665
15:27:43   4038.197     222280.7133
15:27:54   4048.708     222272.1158
15:28:05   4059.230     222273.9267
15:28:15   4069.738     222055.1440
15:28:26   4080.252     222136.1168
15:28:36   4090.762     222339.1703
15:28:47   4101.273     221700.0195
15:28:57   4111.784     222372.7512
15:29:08   4122.300     222067.6344
15:29:18   4132.810     222101.1751
15:29:29   4143.350     222315.3989
15:29:39   4153.861     222113.9776
15:29:50   4164.375     222694.6924
15:30:00   4174.909     221987.3595
15:30:11   4185.426     221874.5595
15:30:21   4195.937     221965.9003
15:30:32   4206.455     222381.9078
15:30:42   4216.966     222124.5235
15:30:53   4227.480     222042.3676
15:31:03   4237.990     222141.4163
15:31:14   4248.506     222057.2066
15:31:24   4259.022     221700.2566
15:31:35   4269.590     221745.3803
15:31:45   4280.102     222124.1019
15:31:56   4290.615     222196.2256
15:32:06   4301.127     222016.0252
15:32:17   4311.695     222303.0541
15:32:28   4322.207     222277.7102
15:32:38   4332.719     221946.7355
15:32:49   4343.230     221713.0760
15:32:59   4353.743     222233.5145
15:33:10   4364.282     222353.1918
15:33:20   4374.796     221966.5421
15:33:31   4385.333     221850.4188
15:33:41   4395.849     222138.3463
15:33:52   4406.419     222062.7482
15:34:02   4416.935     222412.2683
15:34:13   4427.445     221940.8089
15:34:23   4437.961     221937.9514
15:34:34   4448.471     221650.4647
15:34:44   4459.011     222308.2419
15:34:55   4469.550     222268.4918
15:35:05   4480.062     221836.2370
15:35:16   4490.605     221867.7558
15:35:26   4501.120     221750.1437
15:35:37   4511.629     222365.4978
15:35:47   4522.143     221643.5243
15:35:58   4532.683     221973.2471
15:36:09   4543.226     222238.9206
15:36:19   4553.737     221809.8631
15:36:30   4564.254     221727.2940
15:36:40   4574.766     222318.8494
